,Concept_ID,en,es
0,Auge::N,eye,ojo
1,Ohr::N,ear,oreja
2,Nase::N,nose,nariz
3,Mund::N,mouth,boca
4,Zahn::N,tooth,diente
5,Zunge::N,tongue,lengua
6,Lippe::N,lip,labio
7,Wange::N,cheek,mejilla
8,Gesicht::N,face,cara
9,Stirn::N,forehead,frente
10,Haar::N,hair,cabello
11,Schnurrbart::N,moustache,bigote
12,Bart::N,beard,barba
13,Kinn::N,chin,barbilla
14,Kiefer[Anatomie]::N,jaw,mandíbula
15,Kehle::N,throat,garganta
16,Hals::N,neck,cuello
17,Genick::N,nape,nuca
18,Genick::N,nape,cerviz
19,Kopf::N,head,cabeza
20,Rücken::N,back,espalda
21,Rücken::N,spine,espalda
22,Bauch::N,belly,vientre
23,Nabel::N,navel,ombligo
24,Busen::N,bosom,pecho
25,Brust::N,chest,pecho
26,Brust::N,breast,pecho
27,Schulter::N,shoulder,hombro
28,Arm::N,arm,brazo
29,Ellenbogen::N,elbow,codo
30,Hand::N,hand,mano
31,Handfläche::N,palm,palma
32,Finger::N,finger,dedo
33,Fingernagel::N,fingernail,uña
34,Nagel[Anatomie]::N,nail,uña
35,Zeh::N,toe,dedo del pie
36,Fuß::N,foot,pie
37,Ferse::N,heel,talón
38,Knie::N,knee,rodilla
39,Oberschenkel::N,thigh,muslo
40,Bein::N,leg,pierna
41,Körper::N,body,cuerpo
42,Haut::N,skin,piel
43,Blut::N,blood,sangre
44,Ader::N,vein,vena
45,Sehne::N,sinew,tendón
46,Knochen::N,bone,hueso
47,Gehirn::N,brain,cerebro
48,Gehirn::N,brain,encéfalo
49,Herz::N,heart,corazón
50,Magen::N,stomach,estómago
51,Leber::N,liver,hígado
52,Atem::N,breath,aliento
53,Hunger::N,hunger,hambre
54,Träne::N,tear,lágrima
55,Geschmack::N,flavour,gusto
56,Geschmack::N,flavor,gusto
57,Geruch::N,odour,olor
58,Geruch::N,odor,olor
59,Schlaf::N,sleep,sueño
60,Traum::N,dream,sueño
61,Traum::N,dream,ensueño
62,Himmel::N,sky,cielo
63,Sonne::N,sun,sol
64,Mond::N,moon,luna
65,Stern::N,star,estrella
66,Luft::N,air,aire
67,Wind::N,wind,viento
68,Welle::N,wave,ola
69,Welle::N,wave,onda
70,Wasser::N,water,agua
71,Stein::N,stone,piedra
72,Boden::N,soil,suelo
73,Boden::N,ground,suelo
74,Erde::N,earth,tierra
75,Staub::N,dust,polvo
76,Rauch::N,smoke,humo
77,Funke::N,spark,chispa
78,Feuer::N,fire,fuego
79,Licht::N,light,luz
80,Schatten::N,shadow,sombra
81,Wetter::N,weather,tiempo
82,Nebel::N,fog,niebla
83,Wolke::N,cloud,nube
84,Regen::N,rain,lluvia
85,Schnee::N,snow,nieve
86,Eis::N,ice,hielo
87,Frost::N,frost,helada
88,Kälte::N,chill,frío
89,Hitze::N,heat,calor
90,Raureif::N,hoarfrost,escarcha
91,Regenbogen::N,rainbow,arco iris
92,Donner::N,thunder,trueno
93,Strömung::N,current,corriente
94,Tropfen::N,drop,gota
95,Schaum::N,foam,espuma
96,Schmutz::N,dirt,suciedad
97,See::N,lake,lago
98,Sumpf::N,swamp,pantano
99,Moor::N,moor,turbera
100,Wiese::N,meadow,prado
101,Wiese::N,meadow,pradera
102,Wald::N,forest,bosque
103,Hügel::N,hill,colina
104,Anhöhe::N,elevation,cerro
105,Berg::N,mountain,monte
106,Berg::N,mountain,montaña
107,Gipfel::N,summit,cima
108,Gipfel::N,summit,cumbre
109,Höhle::N,cave,cueva
110,Höhle::N,cave,caverna
111,Abhang::N,slope,cuesta
112,Abhang::N,slope,declive
113,Quelle::N,source,fuente
114,Quelle::N,source,manantial
115,Bach::N,brook,arroyo
116,Fluss::N,river,río
117,Ufer::N,shore,orilla
118,Küste::N,coast,costa
119,Festland::N,land,tierra firme
120,Meer::N,sea,mar
121,Bucht::N,cove,cala
122,Bucht::N,cove,bahía
123,Insel::N,island,isla
124,Blume::N,flower,flor
125,Gras::N,grass,hierba
126,Wurzel::N,root,raíz
127,Baum::N,tree,árbol
128,Stamm::N,trunk,tronco
129,Rinde::N,bark,corteza
130,Ast::N,limb,rama
131,Zweig::N,branch,ramo
132,Blatt::N,leaf,hoja
133,Birke::N,birch,abedul
134,Kiefer[Baum]::N,pine,pino
135,Weide[Baum]::N,willow,sauce
136,Tanne::N,fir,abeto
137,Horn::N,horn,asta
138,Horn::N,horn,cuerno
139,Feder::N,feather,pluma
140,Fell::N,fur,piel
141,Flügel::N,wing,ala
142,Klaue::N,claw,garra
143,Kralle::N,claw,uña
144,Kralle::N,claw,garra
145,Schwanz::N,tail,cola
146,Ei::N,egg,huevo
147,Nest::N,nest,nido
148,Bau::N,lair,madriguera
149,Tier::N,animal,animal
150,Herde::N,flock,rebaño
151,Kuh::N,cow,vaca
152,Bulle::N,bull,toro
153,Pferd::N,horse,caballo
154,Schaf::N,sheep,oveja
155,Schwein::N,pig,cerdo
156,Hund::N,dog,perro
157,Katze::N,cat,gato
158,Bär::N,bear,oso
159,Eichhörnchen::N,squirrel,ardilla
160,Elch::N,elk,alce
161,Fuchs::N,fox,zorro
162,Hase::N,hare,liebre
163,Maus::N,mouse,ratón
164,Wolf::N,wolf,lobo
165,Vogel::N,bird,ave
166,Vogel::N,bird,pájaro
167,Schwarm::N,swarm,bandada
168,Huhn::N,chicken,gallina
169,Hahn::N,cock,gallo
170,Gans::N,goose,oca
171,Gans::N,goose,ganso
172,Adler::N,eagle,águila
173,Ente::N,duck,pato
174,Eule::N,owl,lechuza
175,Kranich::N,crane,grulla
176,Krähe::N,crow,corneja
177,Kuckuck::N,cuckoo,cuco
178,Schwan::N,swan,cisne
179,Fisch::N,fish,pez
180,Barsch::N,perch,perca
181,Hecht::N,pike,lucio
182,Schlange[Tier]::N,snake,serpiente
183,Wurm::N,worm,gusano
184,Spinne::N,spider,araña
185,Ameise::N,ant,hormiga
186,Laus::N,louse,piojo
187,Mücke::N,midge,mosquito
188,Fliege::N,fly,mosca
189,Schmetterling::N,butterfly,mariposa
190,Beere::N,berry,baya
191,Apfel::N,apple,manzana
192,Pilz::N,mushroom,seta
193,Pilz::N,mushroom,hongo
194,Zwiebel::N,onion,cebolla
195,Saat::N,seed,siembra
196,Korn::N,grain,grano
197,Heu::N,hay,heno
198,Schale::N,husk,cáscara
199,Grube::N,pit,foso
200,Falle::N,trap,trampa
201,Schlinge::N,noose,lazo
202,Spur::N,track,huella
203,Asche::N,ashes,ceniza
204,Dreck::N,filth,suciedad
205,Eisen::N,iron,hierro
206,Gold::N,gold,oro
207,Silber::N,silver,plata
208,Kohle::N,coal,carbón
209,Glas::N,glass,vidrio
210,Glas::N,glass,cristal
211,Lehm::N,clay,barro
212,Sand::N,sand,arena
213,Mensch::N,human,hombre
214,Mensch::N,human,ser humano
215,Mann::N,man,hombre
216,Frau::N,woman,mujer
217,Kind::N,child,niño
218,Junge::N,boy,chico
219,Junge::N,boy,muchacho
220,Mädchen::N,girl,chica
221,Mädchen::N,girl,muchacha
222,Familie::N,family,familia
223,Großvater::N,grandfather,abuelo
224,Großmutter::N,grandmother,abuela
225,Eltern::N,parents,padres
226,Vater::N,father,padre
227,Mutter::N,mother,madre
228,Sohn::N,son,hijo
229,Tochter::N,daughter,hija
230,Bruder::N,brother,hermano
231,Schwester::N,sister,hermana
232,Onkel::N,uncle,tío
233,Tante::N,aunt,tía
234,Ehemann::N,husband,esposo
235,Ehefrau::N,wife,esposa
236,Freude::N,joy,placer
237,Freude::N,joy,alegría
238,Gelächter::N,laughter,risa
239,Gelächter::N,laughter,carcajada
240,Glück::N,happiness,felicidad
241,Kummer::N,grief,pena
242,Wunsch::N,wish,deseo
243,Lust::N,desire,ganas
244,Geist::N,spirit,mente
245,Geist::N,spirit,espíritu
246,Gedanke::N,thought,idea
247,Gedanke::N,thought,pensamiento
248,Gedächtnis::N,memory,memoria
249,Verstand::N,mind,razón
250,Verstand::N,mind,entendimiento
251,Sinn::N,meaning,sentido
252,Sinn::N,meaning,significado
253,Grund::N,reason,causa
254,Wahrheit::N,truth,verdad
255,Gespräch::N,talk,conversación
256,Märchen::N,fairy tale,cuento
257,Erzählung::N,story,cuento
258,Erzählung::N,story,narración
259,Nachricht::N,message,mensaje
260,Neuigkeit::N,news,noticia
261,Name::N,name,nombre
262,Rätsel::N,puzzle,acertijo
263,Rätsel::N,puzzle,adivinanza
264,Rede::N,speech,discurso
265,Sprache::N,language,lengua
