,Concept_ID,en,nl
0,Auge::N,eye,oog
1,Ohr::N,ear,oor
2,Nase::N,nose,neus
3,Mund::N,mouth,mond
4,Zahn::N,tooth,tand
5,Zunge::N,tongue,tong
6,Lippe::N,lip,lip
7,Wange::N,cheek,wang
8,Gesicht::N,face,gelaat
9,Gesicht::N,face,gezicht
10,Stirn::N,forehead,voorhoofd
11,Haar::N,hair,haar
12,Schnurrbart::N,moustache,snor
13,Bart::N,beard,baard
14,Kinn::N,chin,kin
15,Kiefer[Anatomie]::N,jaw,kaak
16,Kehle::N,throat,keel
17,Kehle::N,throat,strot
18,Hals::N,neck,hals
19,Genick::N,nape,nek
20,Kopf::N,head,hoofd
21,Rücken::N,back,rug
22,Rücken::N,spine,rug
23,Bauch::N,belly,buik
24,Nabel::N,navel,navel
25,Busen::N,bosom,boezem
26,Brust::N,chest,borst
27,Brust::N,breast,borst
28,Schulter::N,shoulder,schouder
29,Arm::N,arm,arm
30,Ellenbogen::N,elbow,elleboog
31,Hand::N,hand,hand
32,Handfläche::N,palm,handpalm
33,Finger::N,finger,vinger
34,Fingernagel::N,fingernail,nagel
35,Nagel[Anatomie]::N,nail,nagel
36,Zeh::N,toe,teen
37,Fuß::N,foot,voet
38,Ferse::N,heel,hak
39,Ferse::N,heel,hiel
40,Knie::N,knee,knie
41,Oberschenkel::N,thigh,dij
42,Bein::N,leg,been
43,Körper::N,body,lichaam
44,Haut::N,skin,huid
45,Blut::N,blood,bloed
46,Ader::N,vein,ader
47,Sehne::N,sinew,pees
48,Knochen::N,bone,bot
49,Knochen::N,bone,been
50,Knochen::N,bone,knook
51,Gehirn::N,brain,hersenen
52,Herz::N,heart,hart
53,Magen::N,stomach,maag
54,Leber::N,liver,lever
55,Atem::N,breath,adem
56,Hunger::N,hunger,honger
57,Träne::N,tear,traan
58,Geschmack::N,flavour,smaak
59,Geschmack::N,flavor,smaak
60,Geruch::N,odour,geur
61,Geruch::N,odor,geur
62,Schlaf::N,sleep,slaap
63,Traum::N,dream,droom
64,Himmel::N,sky,hemel
65,Sonne::N,sun,zon
66,Mond::N,moon,maan
67,Stern::N,star,ster
68,Luft::N,air,lucht
69,Wind::N,wind,wind
70,Welle::N,wave,golf
71,Wasser::N,water,water
72,Stein::N,stone,steen
73,Boden::N,soil,grond
74,Boden::N,ground,grond
75,Erde::N,earth,aarde
76,Staub::N,dust,stof
77,Rauch::N,smoke,rook
78,Funke::N,spark,vonk
79,Feuer::N,fire,vuur
80,Licht::N,light,licht
81,Schatten::N,shadow,schaduw
82,Wetter::N,weather,weer
83,Nebel::N,fog,mist
84,Nebel::N,fog,nevel
85,Wolke::N,cloud,wolk
86,Regen::N,rain,regen
87,Schnee::N,snow,sneeuw
88,Eis::N,ice,ijs
89,Frost::N,frost,vorst
90,Kälte::N,chill,kou
91,Kälte::N,chill,koude
92,Hitze::N,heat,hitte
93,Raureif::N,hoarfrost,rijp
94,Regenbogen::N,rainbow,regenboog
95,Donner::N,thunder,donder
96,Strömung::N,current,stroming
97,Tropfen::N,drop,druppel
98,Schaum::N,foam,schuim
99,Schmutz::N,dirt,vuil
100,See::N,lake,meer
101,Sumpf::N,swamp,moeras
102,Moor::N,moor,veen
103,Wiese::N,meadow,wei
104,Wiese::N,meadow,weide
105,Wald::N,forest,bos
106,Hügel::N,hill,heuvel
107,Anhöhe::N,elevation,hoogte
108,Berg::N,mountain,berg
109,Gipfel::N,summit,top
110,Höhle::N,cave,hol
111,Abhang::N,slope,helling
112,Quelle::N,source,bron
113,Bach::N,brook,beek
