,Concept_ID,en,es
0,Auge::N,eye,ojo
1,Ohr::N,ear,oreja
2,Nase::N,nose,nariz
3,Mund::N,mouth,boca
4,Zahn::N,tooth,diente
5,Zunge::N,tongue,lengua
6,Lippe::N,lip,labio
7,Wange::N,cheek,mejilla
8,Gesicht::N,face,cara
9,Stirn::N,forehead,frente
10,Haar::N,hair,cabello
11,Schnurrbart::N,moustache,bigote
12,Bart::N,beard,barba
13,Kinn::N,chin,barbilla
14,Kiefer[Anatomie]::N,jaw,mandíbula
15,Kehle::N,throat,garganta
16,Hals::N,neck,cuello
17,Genick::N,nape,nuca
18,Genick::N,nape,cerviz
19,Kopf::N,head,cabeza
20,Rücken::N,back,espalda
21,Rücken::N,spine,espalda
22,Bauch::N,belly,vientre
23,Nabel::N,navel,ombligo
24,Busen::N,bosom,pecho
25,Brust::N,chest,pecho
26,Brust::N,breast,pecho
27,Schulter::N,shoulder,hombro
28,Arm::N,arm,brazo
29,Ellenbogen::N,elbow,codo
30,Hand::N,hand,mano
31,Handfläche::N,palm,palma
32,Finger::N,finger,dedo
33,Fingernagel::N,fingernail,uña
34,Nagel[Anatomie]::N,nail,uña
35,Zeh::N,toe,dedo del pie
36,Fuß::N,foot,pie
37,Ferse::N,heel,talón
38,Knie::N,knee,rodilla
39,Oberschenkel::N,thigh,muslo
40,Bein::N,leg,pierna
41,Körper::N,body,cuerpo
42,Haut::N,skin,piel
43,Blut::N,blood,sangre
44,Ader::N,vein,vena
45,Sehne::N,sinew,tendón
46,Knochen::N,bone,hueso
47,Gehirn::N,brain,cerebro
48,Gehirn::N,brain,encéfalo
49,Herz::N,heart,corazón
50,Magen::N,stomach,estómago
51,Leber::N,liver,hígado
52,Atem::N,breath,aliento
53,Hunger::N,hunger,hambre
54,Träne::N,tear,lágrima
55,Geschmack::N,flavour,gusto
56,Geschmack::N,flavor,gusto
57,Geruch::N,odour,olor
58,Geruch::N,odor,olor
59,Schlaf::N,sleep,sueño
60,Traum::N,dream,sueño
61,Traum::N,dream,ensueño
62,Himmel::N,sky,cielo
63,Sonne::N,sun,sol
64,Mond::N,moon,luna
65,Stern::N,star,estrella
66,Luft::N,air,aire
67,Wind::N,wind,viento
68,Welle::N,wave,ola
69,Welle::N,wave,onda
70,Wasser::N,water,agua
71,Stein::N,stone,piedra
72,Boden::N,soil,suelo
73,Boden::N,ground,suelo
74,Erde::N,earth,tierra
75,Staub::N,dust,polvo
76,Rauch::N,smoke,humo
77,Funke::N,spark,chispa
78,Feuer::N,fire,fuego
79,Licht::N,light,luz
80,Schatten::N,shadow,sombra
81,Wetter::N,weather,tiempo
82,Nebel::N,fog,niebla
83,Wolke::N,cloud,nube
84,Regen::N,rain,lluvia
85,Schnee::N,snow,nieve
86,Eis::N,ice,hielo
87,Frost::N,frost,helada
88,Kälte::N,chill,frío
89,Hitze::N,heat,calor
90,Raureif::N,hoarfrost,escarcha
91,Regenbogen::N,rainbow,arco iris
92,Donner::N,thunder,trueno
93,Strömung::N,current,corriente
94,Tropfen::N,drop,gota
95,Schaum::N,foam,espuma
96,Schmutz::N,dirt,suciedad
97,See::N,lake,lago
98,Sumpf::N,swamp,pantano
99,Moor::N,moor,turbera
100,Wiese::N,meadow,prado
101,Wiese::N,meadow,pradera
102,Wald::N,forest,bosque
103,Hügel::N,hill,colina
104,Anhöhe::N,elevation,cerro
105,Berg::N,mountain,monte
106,Berg::N,mountain,montaña
107,Gipfel::N,summit,cima
108,Gipfel::N,summit,cumbre
109,Höhle::N,cave,cueva
110,Höhle::N,cave,caverna
111,Abhang::N,slope,cuesta
112,Abhang::N,slope,declive
113,Quelle::N,source,fuente
114,Quelle::N,source,manantial
115,Bach::N,brook,arroyo
